k,n,failed_nodes,available_nodes,success,recovery_latency_ms
3,5,0,5,True,0.8036110000091412
3,5,1,4,True,0.7693299999971259
3,5,2,3,True,0.7333060000007663
3,5,3,2,False,0.36245700002268677
3,5,4,1,False,0.3736440000068342
3,5,5,0,False,0.34026400001607726
4,7,0,7,True,1.7278709999857256
4,7,1,6,True,1.8347589999905267
4,7,2,5,True,1.7121270000188815
4,7,3,4,True,1.8514340000024276
4,7,4,3,False,0.33973399999354115
4,7,5,2,False,0.3690869999957158
4,7,6,1,False,0.35366399998792986
4,7,7,0,False,0.35039899998423607
